#Freq       VDB(4)    
 1.         21.024    
 1.0233     21.223    
 1.0471     21.422    
 1.0715     21.621    
 1.0965     21.82     
 1.122      22.019    
 1.1482     22.218    
 1.1749     22.417    
 1.2023     22.616    
 1.2303     22.814    
 1.2589     23.013    
 1.2882     23.212    
 1.3183     23.41     
 1.349      23.609    
 1.3804     23.807    
 1.4125     24.005    
 1.4454     24.203    
 1.4791     24.402    
 1.5136     24.6      
 1.5488     24.798    
 1.5849     24.996    
 1.6218     25.193    
 1.6596     25.391    
 1.6982     25.589    
 1.7378     25.786    
 1.7783     25.983    
 1.8197     26.181    
 1.8621     26.378    
 1.9055     26.575    
 1.9498     26.771    
 1.9953     26.968    
 2.0417     27.165    
 2.0893     27.361    
 2.138      27.557    
 2.1878     27.753    
 2.2387     27.949    
 2.2909     28.144    
 2.3442     28.34     
 2.3988     28.535    
 2.4547     28.73     
 2.5119     28.925    
 2.5704     29.119    
 2.6303     29.314    
 2.6915     29.508    
 2.7542     29.701    
 2.8184     29.895    
 2.884      30.088    
 2.9512     30.281    
 3.02       30.473    
 3.0903     30.665    
 3.1623     30.857    
 3.2359     31.049    
 3.3113     31.24     
 3.3884     31.43     
 3.4674     31.621    
 3.5481     31.81     
 3.6308     32.       
 3.7154     32.189    
 3.8019     32.377    
 3.8905     32.565    
 3.9811     32.752    
 4.0738     32.939    
 4.1687     33.125    
 4.2658     33.311    
 4.3652     33.496    
 4.4668     33.68     
 4.5709     33.864    
 4.6774     34.047    
 4.7863     34.229    
 4.8978     34.41     
 5.0119     34.591    
 5.1286     34.771    
 5.2481     34.95     
 5.3703     35.128    
 5.4954     35.305    
 5.6234     35.481    
 5.7544     35.656    
 5.8884     35.83     
 6.0256     36.004    
 6.166      36.176    
 6.3096     36.347    
 6.4565     36.516    
 6.6069     36.685    
 6.7608     36.852    
 6.9183     37.018    
 7.0795     37.183    
 7.2444     37.347    
 7.4131     37.509    
 7.5858     37.669    
 7.7625     37.828    
 7.9433     37.986    
 8.1283     38.142    
 8.3176     38.296    
 8.5114     38.449    
 8.7096     38.6      
 8.9125     38.749    
 9.1201     38.897    
 9.3325     39.043    
 9.5499     39.187    
 9.7724     39.329    
 10.        39.469    
 10.233     39.607    
 10.471     39.743    
 10.715     39.878    
 10.965     40.01     
 11.22      40.14     
 11.482     40.268    
 11.749     40.394    
 12.023     40.517    
 12.303     40.639    
 12.589     40.758    
 12.882     40.875    
 13.183     40.99     
 13.49      41.103    
 13.804     41.213    
 14.125     41.321    
 14.454     41.427    
 14.791     41.53     
 15.136     41.631    
 15.488     41.73     
 15.849     41.827    
 16.218     41.921    
 16.596     42.013    
 16.982     42.102    
 17.378     42.19     
 17.783     42.275    
 18.197     42.358    
 18.621     42.438    
 19.055     42.517    
 19.498     42.593    
 19.953     42.667    
 20.417     42.739    
 20.893     42.809    
 21.38      42.877    
 21.878     42.942    
 22.387     43.006    
 22.909     43.068    
 23.442     43.128    
 23.988     43.186    
 24.547     43.242    
 25.119     43.296    
 25.704     43.348    
 26.303     43.399    
 26.915     43.447    
 27.542     43.495    
 28.184     43.54     
 28.84      43.584    
 29.512     43.627    
 30.2       43.667    
 30.903     43.707    
 31.623     43.745    
 32.359     43.781    
 33.113     43.817    
 33.884     43.85     
 34.674     43.883    
 35.481     43.914    
 36.308     43.945    
 37.154     43.974    
 38.019     44.002    
 38.905     44.028    
 39.811     44.054    
 40.738     44.079    
 41.687     44.103    
 42.658     44.125    
 43.652     44.147    
 44.668     44.168    
 45.709     44.189    
 46.774     44.208    
 47.863     44.226    
 48.978     44.244    
 50.119     44.261    
 51.286     44.278    
 52.481     44.293    
 53.703     44.308    
 54.954     44.323    
 56.234     44.337    
 57.544     44.35     
 58.884     44.362    
 60.256     44.375    
 61.66      44.386    
 63.096     44.397    
 64.565     44.408    
 66.069     44.418    
 67.608     44.428    
 69.183     44.437    
 70.795     44.446    
 72.444     44.455    
 74.131     44.463    
 75.858     44.471    
 77.625     44.478    
 79.433     44.485    
 81.283     44.492    
 83.176     44.499    
 85.114     44.505    
 87.096     44.511    
 89.125     44.517    
 91.201     44.522    
 93.325     44.527    
 95.499     44.532    
 97.724     44.537    
 100.       44.542    
 102.33     44.546    
 104.71     44.55     
 107.15     44.554    
 109.65     44.558    
 112.2      44.562    
 114.82     44.565    
 117.49     44.569    
 120.23     44.572    
 123.03     44.575    
 125.89     44.578    
 128.82     44.581    
 131.83     44.583    
 134.9      44.586    
 138.04     44.588    
 141.25     44.591    
 144.54     44.593    
 147.91     44.595    
 151.36     44.597    
 154.88     44.599    
 158.49     44.601    
 162.18     44.602    
 165.96     44.604    
