#Freq       VDB(3)    
 1.         20.945    
 1.0233     21.144    
 1.0471     21.343    
 1.0715     21.543    
 1.0965     21.742    
 1.122      21.941    
 1.1482     22.139    
 1.1749     22.338    
 1.2023     22.537    
 1.2303     22.736    
 1.2589     22.935    
 1.2882     23.133    
 1.3183     23.332    
 1.349      23.53     
 1.3804     23.729    
 1.4125     23.927    
 1.4454     24.126    
 1.4791     24.324    
 1.5136     24.522    
 1.5488     24.72     
 1.5849     24.918    
 1.6218     25.116    
 1.6596     25.314    
 1.6982     25.511    
 1.7378     25.709    
 1.7783     25.906    
 1.8197     26.104    
 1.8621     26.301    
 1.9055     26.498    
 1.9498     26.695    
 1.9953     26.892    
 2.0417     27.088    
 2.0893     27.285    
 2.138      27.481    
 2.1878     27.677    
 2.2387     27.873    
 2.2909     28.069    
 2.3442     28.265    
 2.3988     28.46     
 2.4547     28.655    
 2.5119     28.85     
 2.5704     29.045    
 2.6303     29.24     
 2.6915     29.434    
 2.7542     29.628    
 2.8184     29.822    
 2.884      30.015    
 2.9512     30.208    
 3.02       30.401    
 3.0903     30.594    
 3.1623     30.786    
 3.2359     30.978    
 3.3113     31.169    
 3.3884     31.36     
 3.4674     31.551    
 3.5481     31.741    
 3.6308     31.931    
 3.7154     32.12     
 3.8019     32.309    
 3.8905     32.497    
 3.9811     32.685    
 4.0738     32.873    
 4.1687     33.059    
 4.2658     33.246    
 4.3652     33.431    
 4.4668     33.616    
 4.5709     33.8      
 4.6774     33.984    
 4.7863     34.167    
 4.8978     34.349    
 5.0119     34.531    
 5.1286     34.711    
 5.2481     34.891    
 5.3703     35.07     
 5.4954     35.248    
 5.6234     35.425    
 5.7544     35.601    
 5.8884     35.777    
 6.0256     35.951    
 6.166      36.124    
 6.3096     36.296    
 6.4565     36.467    
 6.6069     36.637    
 6.7608     36.805    
 6.9183     36.973    
 7.0795     37.139    
 7.2444     37.304    
 7.4131     37.467    
 7.5858     37.629    
 7.7625     37.789    
 7.9433     37.949    
 8.1283     38.106    
 8.3176     38.262    
 8.5114     38.416    
 8.7096     38.569    
 8.9125     38.72     
 9.1201     38.87     
 9.3325     39.017    
 9.5499     39.163    
 9.7724     39.307    
 10.        39.449    
 10.233     39.589    
 10.471     39.727    
 10.715     39.864    
 10.965     39.998    
 11.22      40.13     
 11.482     40.26     
 11.749     40.388    
 12.023     40.514    
 12.303     40.638    
 12.589     40.759    
 12.882     40.878    
 13.183     40.996    
 13.49      41.11     
 13.804     41.223    
 14.125     41.333    
 14.454     41.441    
 14.791     41.547    
 15.136     41.65     
 15.488     41.751    
 15.849     41.85     
 16.218     41.947    
 16.596     42.041    
 16.982     42.133    
 17.378     42.223    
 17.783     42.31     
 18.197     42.395    
 18.621     42.478    
 19.055     42.559    
 19.498     42.637    
 19.953     42.713    
 20.417     42.787    
 20.893     42.859    
 21.38      42.929    
 21.878     42.997    
 22.387     43.063    
 22.909     43.126    
 23.442     43.188    
 23.988     43.248    
 24.547     43.306    
 25.119     43.362    
 25.704     43.416    
 26.303     43.468    
 26.915     43.519    
 27.542     43.568    
 28.184     43.615    
 28.84      43.66     
 29.512     43.704    
 30.2       43.747    
 30.903     43.788    
 31.623     43.827    
 32.359     43.865    
 33.113     43.902    
 33.884     43.937    
 34.674     43.971    
 35.481     44.003    
 36.308     44.035    
 37.154     44.065    
 38.019     44.094    
 38.905     44.122    
 39.811     44.149    
 40.738     44.174    
 41.687     44.199    
 42.658     44.223    
 43.652     44.246    
 44.668     44.267    
 45.709     44.288    
 46.774     44.309    
 47.863     44.328    
 48.978     44.347    
 50.119     44.364    
 51.286     44.381    
 52.481     44.398    
 53.703     44.413    
 54.954     44.428    
 56.234     44.443    
 57.544     44.457    
 58.884     44.47     
 60.256     44.483    
 61.66      44.495    
 63.096     44.506    
 64.565     44.517    
 66.069     44.528    
 67.608     44.538    
 69.183     44.548    
 70.795     44.557    
 72.444     44.566    
 74.131     44.575    
 75.858     44.583    
 77.625     44.591    
 79.433     44.598    
 81.283     44.605    
 83.176     44.612    
 85.114     44.619    
 87.096     44.625    
 89.125     44.631    
 91.201     44.637    
 93.325     44.642    
 95.499     44.648    
 97.724     44.653    
 100.       44.657    
 102.33     44.662    
 104.71     44.666    
 107.15     44.67     
 109.65     44.674    
 112.2      44.678    
 114.82     44.682    
 117.49     44.685    
 120.23     44.689    
 123.03     44.692    
 125.89     44.695    
 128.82     44.698    
 131.83     44.701    
 134.9      44.703    
 138.04     44.706    
 141.25     44.708    
 144.54     44.711    
 147.91     44.713    
 151.36     44.715    
 154.88     44.717    
 158.49     44.719    
 162.18     44.721    
 165.96     44.723    
 169.82     44.724    
 173.78     44.726    
 177.83     44.727    
 181.97     44.729    
 186.21     44.73     
 190.55     44.732    
 194.98     44.733    
 199.53     44.734    
 204.17     44.735    
 208.93     44.736    
 213.8      44.737    
 218.78     44.739    
 223.87     44.739    
 229.09     44.74     
 234.42     44.741    
 239.88     44.742    
 245.47     44.743    
 251.19     44.744    
 257.04     44.744    
 263.03     44.745    
 269.15     44.746    
 275.42     44.746    
 281.84     44.747    
 288.4      44.748    
 295.12     44.748    
 302.       44.749    
 309.03     44.749    
 316.23     44.75     
 323.59     44.75     
 331.13     44.751    
 338.84     44.751    
 346.74     44.752    
 354.81     44.752    
 363.08     44.752    
 371.54     44.753    
 380.19     44.753    
 389.05     44.753    
 398.11     44.754    
 407.38     44.754    
 416.87     44.754    
 426.58     44.754    
 436.52     44.755    
 446.68     44.755    
 457.09     44.755    
 467.74     44.755    
 478.63     44.756    
 489.78     44.756    
 501.19     44.756    
 512.86     44.756    
 524.81     44.756    
 537.03     44.757    
 549.54     44.757    
 562.34     44.757    
 575.44     44.757    
 588.84     44.757    
 602.56     44.757    
 616.6      44.757    
 630.96     44.758    
 645.65     44.758    
 660.69     44.758    
 676.08     44.758    
 691.83     44.758    
 707.95     44.758    
 724.44     44.758    
 741.31     44.758    
 758.58     44.758    
 776.25     44.758    
 794.33     44.759    
 812.83     44.759    
 831.76     44.759    
 851.14     44.759    
 870.96     44.759    
 891.25     44.759    
 912.01     44.759    
 933.25     44.759    
 954.99     44.759    
 977.24     44.759    
 1.E+3      44.759    
 1.0233E+3  44.759    
 1.0471E+3  44.759    
 1.0715E+3  44.759    
 1.0965E+3  44.759    
 1.122E+3   44.759    
 1.1482E+3  44.759    
 1.1749E+3  44.759    
 1.2023E+3  44.759    
 1.2303E+3  44.76     
 1.2589E+3  44.76     
 1.2882E+3  44.76     
 1.3183E+3  44.76     
 1.349E+3   44.76     
 1.3804E+3  44.76     
 1.4125E+3  44.76     
 1.4454E+3  44.76     
 1.4791E+3  44.76     
 1.5136E+3  44.76     
 1.5488E+3  44.76     
 1.5849E+3  44.76     
 1.6218E+3  44.76     
 1.6596E+3  44.76     
 1.6982E+3  44.76     
 1.7378E+3  44.76     
 1.7783E+3  44.76     
 1.8197E+3  44.76     
 1.8621E+3  44.76     
 1.9055E+3  44.76     
 1.9498E+3  44.76     
 1.9953E+3  44.76     
 2.0417E+3  44.76     
 2.0893E+3  44.76     
 2.138E+3   44.76     
 2.1878E+3  44.76     
 2.2387E+3  44.76     
 2.2909E+3  44.76     
 2.3442E+3  44.76     
 2.3988E+3  44.76     
 2.4547E+3  44.76     
 2.5119E+3  44.76     
 2.5704E+3  44.76     
 2.6303E+3  44.76     
 2.6915E+3  44.76     
 2.7542E+3  44.76     
 2.8184E+3  44.76     
 2.884E+3   44.76     
 2.9512E+3  44.76     
 3.02E+3    44.76     
 3.0903E+3  44.76     
 3.1623E+3  44.76     
 3.2359E+3  44.76     
 3.3113E+3  44.76     
 3.3884E+3  44.76     
 3.4674E+3  44.76     
 3.5481E+3  44.76     
 3.6308E+3  44.76     
 3.7154E+3  44.76     
 3.8019E+3  44.76     
 3.8905E+3  44.76     
 3.9811E+3  44.76     
 4.0738E+3  44.76     
 4.1687E+3  44.76     
 4.2658E+3  44.76     
 4.3652E+3  44.76     
 4.4668E+3  44.76     
 4.5709E+3  44.76     
 4.6774E+3  44.76     
 4.7863E+3  44.76     
 4.8978E+3  44.76     
 5.0119E+3  44.76     
 5.1286E+3  44.76     
 5.2481E+3  44.76     
 5.3703E+3  44.76     
 5.4954E+3  44.76     
 5.6234E+3  44.76     
 5.7544E+3  44.76     
 5.8884E+3  44.76     
 6.0256E+3  44.76     
 6.166E+3   44.76     
 6.3096E+3  44.76     
 6.4565E+3  44.76     
 6.6069E+3  44.76     
 6.7608E+3  44.76     
 6.9183E+3  44.76     
 7.0795E+3  44.76     
 7.2444E+3  44.76     
 7.4131E+3  44.76     
 7.5858E+3  44.76     
 7.7625E+3  44.76     
 7.9433E+3  44.76     
 8.1283E+3  44.76     
 8.3176E+3  44.76     
 8.5114E+3  44.76     
 8.7096E+3  44.76     
 8.9125E+3  44.76     
 9.1201E+3  44.759    
 9.3325E+3  44.759    
 9.5499E+3  44.759    
 9.7724E+3  44.759    
 10.E+3     44.759    
 10.233E+3  44.759    
 10.471E+3  44.759    
 10.715E+3  44.759    
 10.965E+3  44.759    
 11.22E+3   44.759    
 11.482E+3  44.759    
 11.749E+3  44.759    
 12.023E+3  44.759    
 12.303E+3  44.759    
 12.589E+3  44.759    
